time,x,y,Object
1305639791312600,11.072191,0.26731345,0
1305639795449100,11.043564,0.37500617,0
1305639803274000,11.004812,0.54490995,0
1305639817196800,10.848093,1.9852242,4
1305639825543900,10.78102,2.4590268,4
1305639836116500,10.567786,3.486073,4
1305639847401000,10.331099,4.1455827,4
1305639867376700,10.165258,4.5037665,4
1305639872008800,10.157854,4.5192876,4
1305639881298700,10.1800165,4.4727006,4
1305639897772800,10.238415,4.3482966,4
1305639902417100,10.25285,4.3171535,4
1305639913013700,10.25285,4.3171535,4
1305639929736200,10.25285,4.3171535,4
1305639936556900,10.25285,4.3171535,0
1305639945901600,10.24748,4.459081,0
1305639963728300,10.29319,4.334144,0
1305639977320300,10.295609,4.3026166,0
1305639980326800,10.232044,4.0007215,0
1305639993073000,10.135289,3.9823785,0
1305640009968900,10.032213,4.200046,0
1305640012983200,9.784763,4.694122,0
1305640027605100,9.601624,5.1085935,0
1305640042387300,9.572453,5.1852593,0
1305640045612200,9.442402,5.7238946,0
1305640056119900,9.364498,5.9988656,0
1305640069000000,9.222843,6.5157533,0
1305640079012000,9.04733,7.0257535,0
1305640089534200,8.837233,7.66487,0
1305640108317500,8.609859,8.35442,0
1305640111357500,8.343308,9.118441,4
1305640127262500,8.171425,9.468046,4
1305640135104100,8.160336,9.481403,4
1305640144995100,8.133141,9.536997,4
1305640154683600,8.179501,9.734747,4
1305640173674500,8.259909,10.243168,4
1305640177222500,8.282575,10.333408,4
1305640187700800,8.338792,10.572639,4
1305640206251500,8.441769,10.830561,4
1305640210223600,8.463617,10.876326,4
1305640222077900,8.638063,10.982561,4
1305640232345500,8.891197,10.995132,4
1305640242835900,9.399324,10.984104,4
1305640255448400,9.957449,10.865099,4
1305640265275600,10.535043,10.719759,4
1305640275571000,11.120864,10.590168,4
1305640286979300,11.58337,10.5495205,4
1305640299425100,12.00077,10.545134,4
1305640312024700,12.361595,10.637449,4
1305640320656000,12.720191,10.868668,4
1305640331406400,12.854788,11.020008,4
1305640346212800,12.969744,11.142534,4
1305640359876100,12.969744,11.142534,4
1305640364625000,12.969744,11.142534,4
1305640378343800,12.985749,11.113035,4
1305640391431800,12.990944,11.069813,4
1305640396716900,13.048345,10.894346,4
1305640407968200,13.056883,10.706596,4
1305640423948200,12.688994,9.9832,4
1305640430017600,12.62611,9.868284,4
1305640453681500,12.405739,9.38813,4
1305640456542500,12.369542,9.016186,4
1305640463667200,12.381705,8.955902,4
1305640475540100,12.473735,8.75786,4
1305640485599000,12.549608,8.589701,4
1305640502018000,12.596931,8.48242,4
1305640506691100,12.596931,8.48242,0
1305640519789000,12.416819,8.458117,0
1305640529969300,12.276995,8.310465,0
1305640543084400,12.006404,8.041906,0
1305640552009800,11.539073,7.8456483,0
1305640569127100,10.930027,7.7605615,0
1305640584873600,9.987549,7.599829,0
1305640587727500,9.01153,7.4826493,0
1305640600780800,8.793972,7.492804,0
1305640605619900,7.9902315,7.417603,0
1305640619022800,7.1867123,7.393208,0
1305640633835100,6.931141,7.441382,0
1305640638591600,6.354062,7.60533,0
1305640650650200,5.8906355,7.9265027,0
1305640663883900,5.6978626,8.106161,0
1305640680243000,5.404086,8.613882,0
1305640683725400,5.424325,8.766375,0
1305640694811900,5.505681,9.212673,0
1305640711947200,5.9432125,10.663811,0
1305640726859200,6.023139,10.88159,0
1305640729733700,6.474324,11.975889,0
1305640743573500,6.9554186,12.889753,0
1305640748733200,7.094762,13.116497,0
1305640762491700,7.6332345,13.853767,0
1305640776290500,8.06458,14.226883,0
1305640784391600,8.1697445,14.266226,2
1305640806890600,8.467831,14.353626,2
1305640809891000,9.04825,14.231646,2
1305640814621700,9.136755,14.213579,2
1305640838135700,9.422869,14.159039,2
1305640841049200,9.727449,14.128553,2
1305640848722800,9.780544,14.145042,2
1305640860438200,9.94262,14.1417675,2
1305640869648500,10.135357,14.178202,2
1305640881055700,10.232801,14.16983,2
1305640900518400,10.373229,14.162884,2
1305640903443200,10.53619,14.10367,2
1305640913843400,10.622605,14.080336,0
1305640925338900,10.923585,14.009354,0
1305640935746200,11.477769,13.882929,0
1305640951688900,12.182778,13.700624,0
1305640959372200,12.2336035,13.65933,0
1305640970048000,12.436642,13.519287,0
1305640979861600,12.590045,13.298758,0
1305640992487300,12.721558,13.103937,0
1305641001719800,12.850493,12.907448,3
1305641016613500,12.94762,12.724718,3
1305641031350000,12.965504,12.696314,3
1305641035486300,12.920355,12.644089,3
1305641046500900,12.897849,12.61791,3
1305641066404800,12.408031,12.072748,3
1305641070214100,12.306563,12.020313,3
1305641081703100,12.005335,11.859962,3
1305641089843700,11.896864,11.819735,0
1305641113549000,11.4845,11.540445,0
1305641116477500,10.600611,11.010754,0
1305641122617500,10.3722315,10.900988,4
1305641143020300,9.652706,10.729502,4
1305641146197400,8.842793,10.615253,4
1305641156005100,8.733244,10.603697,4
1305641174582300,8.711328,10.630283,4
1305641177626400,8.806001,10.538954,4
1305641191637100,8.88615,10.561728,4
1305641207322500,9.099052,10.986631,4
1305641210769300,9.15411,11.092133,4
1305641222534400,9.321112,11.43498,4
1305641239458000,9.601052,11.922976,4
1305641243699100,9.653636,12.010839,0
1305641255742900,9.832598,12.301668,0
1305641270044700,10.083817,12.894302,0
1305641277133800,10.160833,13.007193,0
1305641288446800,10.477383,13.452778,0
1305641301717600,11.083773,13.734928,0
1305641309796600,11.232246,13.789579,0
