time,x,y,Object
2788475356600,11.0681505,0.28267142,0
2788485768200,11.009117,0.5294442,0
2788500281000,10.851053,2.032641,0
2788508323300,10.773467,3.013846,0
2788518804100,10.598843,4.912143,0
2788531488500,10.339994,7.031634,0
2788546095200,9.938221,8.903612,0
2788561433900,9.875196,9.079815,0
2788564482800,9.504459,9.723656,0
2788579338200,9.290825,10.015747,0
2788595202200,9.28051,10.029552,0
2788598193100,9.135962,10.046064,0
2788615102100,8.573078,9.84137,0
2788618198800,8.384684,9.789839,0
2788629302900,8.08468,9.663412,0
2788647346400,7.310019,8.956869,0
2788651436100,7.2359905,8.825779,1
2788661568200,7.082922,8.531839,1
2788678397700,6.9130144,8.26335,1
2788686211200,6.8430576,8.176142,1
2788694489100,6.83107,8.188948,1
2788715977400,7.0685015,8.693335,1
2788719459600,7.138613,8.868948,1
2788731124400,7.2524548,9.169889,1
2788746268400,7.4465604,9.585211,1
2788749496600,7.562732,9.721003,1
2788761153500,7.574366,9.708101,1
2788772794800,7.551001,9.689808,1
2788793369000,7.026046,8.864447,1
2788796698100,6.94018,8.685801,1
2788808356900,6.861267,8.522781,1
2788823492500,6.6990194,8.388708,1
2788827425300,6.6990194,8.388708,1
2788838504600,6.7162256,8.451534,1
2788848804800,6.918811,9.082685,1
2788870170600,7.223107,9.739702,1
2788872948200,7.61977,10.12491,1
2788887535200,7.753732,9.99889,1
2788892327200,7.7528815,9.954876,0
2788905919500,7.6205487,9.567997,0
2788920701000,7.3479753,8.8291645,0
2788925469100,7.3178644,8.734936,0
2788938719600,7.245032,8.499235,1
2788954270700,7.205208,8.522549,1
2788969079900,7.193488,8.535536,1
2788972044700,7.1842747,8.608622,1
2788986701400,7.2083683,8.687181,1
2788991682100,7.276141,8.802624,1
2789004800300,7.4006195,8.941723,1
2789020774100,7.435421,8.902605,1
2789024576500,7.435421,8.902605,1
2789037508900,7.4418225,8.87385,1
2789046394600,7.4315224,8.842455,1
2789057803700,7.4212823,8.81105,1
2789071571600,7.4172997,8.60158,1
2789086127400,7.4403563,8.575304,0
2789091109900,7.5890484,8.403416,0
2789105282900,7.857896,8.081091,0
2789112265400,7.989512,7.917561,0
2789123727600,8.156194,7.726765,0
2789136442600,8.500838,7.310036,0
2789150232700,8.637668,7.1408677,0
2789156257600,8.889537,6.7966065,0
2789180661300,9.203682,6.4988313,0
2789183746400,9.524818,6.211436,0
2789189307100,9.578824,6.168217,0
2789203463500,9.80513,5.9945264,0
2789213010600,9.995892,5.9262967,0
2789229949200,10.386131,5.8649964,0
2789233612000,10.441633,5.8357224,0
2789247955800,10.68532,5.781134,0
2789264120700,10.947386,5.6782784,0
2789267644900,11.000712,5.648083,0
2789279378500,11.086992,5.571303,0
2789298679900,11.204802,5.4791474,0
2789302096500,11.332106,5.2607255,0
2789315921300,11.362845,5.182345,0
2789331780400,11.417166,5.0411286,0
2789334994700,11.452658,4.9469075,0
2789346670500,11.464362,4.915486,0
2789363476400,11.476,4.8840566,0
2789366927200,11.487569,4.8526235,0
2789381157700,11.487569,4.8526235,0
2789395016100,11.487569,4.8526235,0
